City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
231,Nazilli,TR,37.9163,28.3223,66.9,48,15,6.11,few clouds
232,Tuy Hoa,VN,13.0833,109.3,76.44,92,98,3.8,overcast clouds
233,Roma,US,43.2128,-75.4557,75.09,58,80,1.01,broken clouds
234,Yumen,CN,40.2833,97.2,48.6,38,0,13.42,clear sky
235,Clyde River,CA,70.4692,-68.5914,19.87,76,65,3.53,broken clouds
236,Banjarmasin,ID,-3.3244,114.591,75.34,92,93,1.72,overcast clouds
237,Buri,BR,-23.7975,-48.5928,88.09,40,96,14.67,overcast clouds
238,Talnakh,RU,69.4865,88.3972,19.04,96,99,6.6,overcast clouds
239,Roald,NO,62.5833,6.1333,54.75,81,75,33.38,light intensity shower rain
240,Cayenne,GF,4.9333,-52.3333,91.44,52,0,16.11,clear sky
241,Tilichiki,RU,60.4667,166.1,30.76,64,44,11.88,scattered clouds
242,Watsa,CD,3.0372,29.5355,65.84,95,81,2.37,light rain
243,Noumea,NC,-22.2763,166.4572,72.0,99,76,7.05,broken clouds
244,Gisborne,NZ,-38.6533,178.0042,39.22,62,5,8.9,clear sky
245,Dingle,PH,10.9995,122.6711,76.08,92,100,6.76,overcast clouds
246,Lethem,GY,3.3803,-59.7968,88.86,55,51,3.69,broken clouds
247,Temiscaming,CA,46.7212,-79.0971,60.35,69,83,11.07,light rain
248,Mehamn,NO,71.0357,27.8492,44.55,87,75,14.97,broken clouds
249,Bethel,US,41.3712,-73.414,75.42,54,0,3.44,clear sky
250,Mvuma,ZW,-19.2792,30.5283,69.96,25,0,7.67,clear sky
251,Hithadhoo,MV,-0.6,73.0833,80.91,80,24,17.85,few clouds
252,Tasiilaq,GL,65.6145,-37.6368,39.36,72,99,2.55,overcast clouds
253,Codrington,AU,-38.2667,141.9667,53.94,97,95,9.82,moderate rain
254,Kirkland Lake,CA,48.1446,-80.0377,43.09,93,100,0.0,light rain
255,Victoria,HK,22.2855,114.1577,83.32,79,10,11.01,clear sky
256,Yulara,AU,-25.2406,130.9889,62.73,67,11,10.78,few clouds
257,Santa Maria,BR,-29.6842,-53.8069,69.55,89,99,6.17,overcast clouds
258,Thunder Bay,CA,48.4001,-89.3168,44.58,65,75,19.57,broken clouds
259,Hualmay,PE,-11.0964,-77.6139,66.61,68,58,10.98,broken clouds
260,Vagur,FO,61.4732,-6.8119,48.63,84,57,27.36,light rain
261,Turukhansk,RU,65.8167,87.9833,29.75,95,100,6.13,overcast clouds
262,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,4.61,few clouds
263,Key West,US,24.5557,-81.7826,89.6,70,75,13.8,broken clouds
264,Kaitangata,NZ,-46.2817,169.8464,38.48,87,85,6.91,overcast clouds
265,Albanel,CA,48.8832,-72.4487,54.23,81,89,8.61,overcast clouds
266,Narsaq,GL,60.9167,-46.05,41.22,70,0,1.28,clear sky
267,Huittinen,FI,61.1833,22.7,50.85,79,43,10.85,scattered clouds
268,Vendas Novas,PT,38.6771,-8.4579,76.41,36,100,6.04,overcast clouds
269,Fort Nelson,CA,58.8053,-122.7002,58.03,47,40,2.48,scattered clouds
270,Andenes,NO,69.3143,16.1194,46.92,76,100,33.38,overcast clouds
271,Kushnarenkovo,RU,55.105,55.3508,44.91,89,70,6.93,broken clouds
272,Tutoia,BR,-2.7619,-42.2744,84.7,64,63,15.99,broken clouds
273,Banda Aceh,ID,5.5577,95.3222,76.64,89,100,7.76,moderate rain
274,Nanchang,CN,28.6833,115.8833,57.94,82,100,7.61,overcast clouds
275,Ouadda,CF,8.0777,22.4007,70.29,92,89,1.97,light rain
276,Jacareacanga,BR,-6.2222,-57.7528,104.86,21,42,4.85,scattered clouds
277,Cap Malheureux,MU,-19.9842,57.6142,72.46,67,36,8.01,scattered clouds
278,Kadaya,RU,50.9327,119.2911,23.32,58,2,1.3,clear sky
279,Asau,RO,46.4333,26.4,51.28,66,100,4.43,overcast clouds
280,Alice Springs,AU,-23.7,133.8833,67.55,42,81,8.05,broken clouds
281,Portland,US,45.5234,-122.6762,69.78,77,20,6.91,few clouds
282,Kingsville,US,27.5159,-97.8561,87.06,52,40,6.91,scattered clouds
283,Naze,JP,28.3667,129.4833,72.9,75,19,4.21,few clouds
